Date,Burgers,Pizzas,Salads,Burgers_lag_1,Pizzas_lag_1,Salads_lag_1,Burgers_lag_2,Pizzas_lag_2,Salads_lag_2,Burgers_lag_3,Pizzas_lag_3,Salads_lag_3,Burgers_lag_4,Pizzas_lag_4,Salads_lag_4,Burgers_lag_5,Pizzas_lag_5,Salads_lag_5,Burgers_lag_6,Pizzas_lag_6,Salads_lag_6,Burgers_lag_7,Pizzas_lag_7,Salads_lag_7
2024-01-08,148.80278015432552,101.50642440992232,78.65046189928017,148.8112028729454,102.70345592225495,74.91941178076299,134.65215223016986,113.33022095968269,81.80134088759513,128.6476010533084,115.35856880681536,74.15693685445216,130.66977435450642,110.70925650594019,65.21674817228163,118.9422782916009,113.55056444271113,70.54986164169702,107.26185329509768,118.74809828219851,60.46064220503674,102.48357076505616,118.08330304861884,62.37309584112914
2024-01-09,145.52372998842552,92.99422199377538,82.87607719094709,148.80278015432552,101.50642440992232,78.65046189928017,148.8112028729454,102.70345592225495,74.91941178076299,134.65215223016986,113.33022095968269,81.80134088759513,128.6476010533084,115.35856880681536,74.15693685445216,130.66977435450642,110.70925650594019,65.21674817228163,118.9422782916009,113.55056444271113,70.54986164169702,107.26185329509768,118.74809828219851,60.46064220503674
2024-01-10,150.0,82.72854207292839,83.03865631489647,145.52372998842552,92.99422199377538,82.87607719094709,148.80278015432552,101.50642440992232,78.65046189928017,148.8112028729454,102.70345592225495,74.91941178076299,134.65215223016986,113.33022095968269,81.80134088759513,128.6476010533084,115.35856880681536,74.15693685445216,130.66977435450642,110.70925650594019,65.21674817228163,118.9422782916009,113.55056444271113,70.54986164169702
2024-01-11,147.66519209211032,80.38076156452267,81.59090224276045,150.0,82.72854207292839,83.03865631489647,145.52372998842552,92.99422199377538,82.87607719094709,148.80278015432552,101.50642440992232,78.65046189928017,148.8112028729454,102.70345592225495,74.91941178076299,134.65215223016986,113.33022095968269,81.80134088759513,128.6476010533084,115.35856880681536,74.15693685445216,130.66977435450642,110.70925650594019,65.21674817228163
2024-01-12,146.80555746177475,78.74059730237931,87.84504826053048,147.66519209211032,80.38076156452267,81.59090224276045,150.0,82.72854207292839,83.03865631489647,145.52372998842552,92.99422199377538,82.87607719094709,148.80278015432552,101.50642440992232,78.65046189928017,148.8112028729454,102.70345592225495,74.91941178076299,134.65215223016986,113.33022095968269,81.80134088759513,128.6476010533084,115.35856880681536,74.15693685445216
2024-01-13,148.24482469138184,66.28714119883898,85.53575000968185,146.80555746177475,78.74059730237931,87.84504826053048,147.66519209211032,80.38076156452267,81.59090224276045,150.0,82.72854207292839,83.03865631489647,145.52372998842552,92.99422199377538,82.87607719094709,148.80278015432552,101.50642440992232,78.65046189928017,148.8112028729454,102.70345592225495,74.91941178076299,134.65215223016986,113.33022095968269,81.80134088759513
2024-01-14,134.17175300330908,66.87653980995002,90.90130102968118,148.24482469138184,66.28714119883898,85.53575000968185,146.80555746177475,78.74059730237931,87.84504826053048,147.66519209211032,80.38076156452267,81.59090224276045,150.0,82.72854207292839,83.03865631489647,145.52372998842552,92.99422199377538,82.87607719094709,148.80278015432552,101.50642440992232,78.65046189928017,148.8112028729454,102.70345592225495,74.91941178076299
2024-01-15,130.70298862756695,44.82003498579335,87.1460875082211,134.17175300330908,66.87653980995002,90.90130102968118,148.24482469138184,66.28714119883898,85.53575000968185,146.80555746177475,78.74059730237931,87.84504826053048,147.66519209211032,80.38076156452267,81.59090224276045,150.0,82.72854207292839,83.03865631489647,145.52372998842552,92.99422199377538,82.87607719094709,148.80278015432552,101.50642440992232,78.65046189928017
2024-01-16,131.10415416727594,53.89664398297821,94.6391715487562,130.70298862756695,44.82003498579335,87.1460875082211,134.17175300330908,66.87653980995002,90.90130102968118,148.24482469138184,66.28714119883898,85.53575000968185,146.80555746177475,78.74059730237931,87.84504826053048,147.66519209211032,80.38076156452267,81.59090224276045,150.0,82.72854207292839,83.03865631489647,145.52372998842552,92.99422199377538,82.87607719094709
2024-01-17,122.57584766638757,47.01563150965209,87.38482505311151,131.10415416727594,53.89664398297821,94.6391715487562,130.70298862756695,44.82003498579335,87.1460875082211,134.17175300330908,66.87653980995002,90.90130102968118,148.24482469138184,66.28714119883898,85.53575000968185,146.80555746177475,78.74059730237931,87.84504826053048,147.66519209211032,80.38076156452267,81.59090224276045,150.0,82.72854207292839,83.03865631489647
